id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-WCED-01042,历届世界杯,第01届1930乌拉圭,决赛进球者,world_cup,5,1930决赛谁进球?,1930决赛进球,乌拉圭：多拉多、塞阿(2)、伊里arte、卡斯特罗；阿根廷：佩乌塞勒、斯塔比莱。,卡斯特罗带伤上阵攻入最后一球，成为乌拉圭传奇。,list,"1930,决赛,进球,卡斯特罗","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:乌拉圭|team:阿根廷,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01043,历届世界杯,第01届1930乌拉圭,决赛裁判,world_cup,5,1930年决赛主裁是谁?,1930决赛裁判,比利时裁判约翰·朗格努斯执法决赛。,当时跨国裁判沟通困难，但决赛未出重大争议。,fact,"1930,朗格努斯,裁判,决赛","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,进阶,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01044,历届世界杯,第01届1930乌拉圭,乌拉圭队长,world_cup,5,1930年乌拉圭队长是谁?,1930乌拉圭队长,何塞·纳萨齐为乌拉圭队长，后被视为南美防守大师。,纳萨齐领衔防线，决赛顶住阿根廷反扑。,fact,"1930,纳萨齐,队长,乌拉圭","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:乌拉圭|player:纳萨齐,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01045,历届世界杯,第01届1930乌拉圭,雷米特杯,world_cup,5,1930年冠军奖杯叫什么?,1930奖杯,冠军获得雷米特杯，以FIFA主席朱尔·雷米特命名。,1930至1970年冠军均获此杯，巴西三冠后永久保留。,definition,"1930,雷米特杯,奖杯,冠军","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01046,历届世界杯,第01届1930乌拉圭,雷米特推动,world_cup,5,谁创立世界杯?,1930雷米特,法国人朱尔·雷米特推动设立世界杯，1930首届落地。,雷米特任FIFA主席多年，倡导全球国家队大赛。,timeline,"1930,雷米特,FIFA,创立","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01047,历届世界杯,第01届1930乌拉圭,东道主夺冠,world_cup,5,1930东道主夺冠了吗?,1930东道主,乌拉圭作为东道主夺冠，为世界杯史上首次东道主捧杯。,后有多国东道主夺冠，如1966英格兰、1998法国。,fact,"1930,东道主,乌拉圭,夺冠","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:乌拉圭,,入门,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01048,历届世界杯,第01届1930乌拉圭,拉普拉塔德比,world_cup,5,1930决赛有何特殊?,1930德比,决赛为乌拉圭对阿根廷，堪称拉普拉塔河床德比升级版。,两国球迷大量渡轮赴蒙得维的亚观赛，气氛极度火爆。,fact,"1930,德比,乌拉圭,阿根廷","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:乌拉圭|team:阿根廷,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01049,历届世界杯,第01届1930乌拉圭,决赛观众,world_cup,5,1930决赛多少人观看?,1930决赛观众,世纪球场决赛官方入场约6.8万人，创当时纪录。,民间流传更高数字，但FIFA技术报告以官方统计为准。,fact,"1930,决赛,观众,世纪球场","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|venue:世纪球场,,进阶,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01050,历届世界杯,第01届1930乌拉圭,罗马尼亚旅程,world_cup,5,1930年罗马尼亚如何赴赛?,1930罗马尼亚交通,罗马尼亚队乘船跨大西洋，航程约三周才抵达乌拉圭。,体现早期世界杯交通成本，欧洲参赛意愿因此受影响。,fact,"1930,罗马尼亚,船运,三周","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:罗马尼亚,,进阶,1930,1930,欧洲,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01051,历届世界杯,第01届1930乌拉圭,未参赛强队,world_cup,5,1930年哪些强队没来?,1930缺席,英格兰、意大利、西班牙、德国等欧洲强队当时未参赛。,旅行费用、赛程冲突与足协态度是主要原因。,list,"1930,缺席,英格兰,意大利","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,进阶,1930,1930,欧洲,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01052,历届世界杯,第01届1930乌拉圭,墨西哥表现,world_cup,5,1930年墨西哥成绩?,1930墨西哥,墨西哥小组赛两连败，分别负法国与智利。,墨西哥仍为首届世界杯北美代表之一。,fact,"1930,墨西哥,小组赛,出局","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:墨西哥,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01053,历届世界杯,第01届1930乌拉圭,法国表现,world_cup,5,1930年法国成绩?,1930法国,法国攻入世界杯首球但小组未能出线。,对阿根廷0比1失利是关键败仗。,fact,"1930,法国,首球,出局","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:法国,,入门,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01054,历届世界杯,第01届1930乌拉圭,智利表现,world_cup,5,1930年智利成绩?,1930智利,智利小组赛1胜1负，未能超越阿根廷出线。,曾1比0胜法国，苏比亚夫雷有进球。,fact,"1930,智利,法国,小组赛","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:智利,,入门,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01055,历届世界杯,第01届1930乌拉圭,巴西表现,world_cup,5,1930年巴西成绩?,1930巴西,巴西小组赛1胜1负，负南斯拉夫后出局。,巴西首届世界杯未能小组出线，后成为五冠王。,fact,"1930,巴西,南斯拉夫,出局","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:巴西,,入门,1930,1930,南美,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01056,历届世界杯,第01届1930乌拉圭,比利时表现,world_cup,5,1930年比利时成绩?,1930比利时,比利时小组赛两连败，分别负美国与巴拉圭。,欧洲四队中仅南斯拉夫进入四强。,fact,"1930,比利时,小组赛,出局","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯|team:比利时,,入门,1930,1930,欧洲,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01057,历届世界杯,第01届1930乌拉圭,无换人,world_cup,5,1930年能换人吗?,1930换人,当时规则不允许替补换人，11人必须踢完全场。,现代五换人规则为后来逐步改革结果。,comparison,"1930,无换人,规则,11人","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,进阶,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01058,历届世界杯,第01届1930乌拉圭,无红黄牌,world_cup,5,1930年有红黄牌吗?,1930红黄牌,1970年前无红黄牌制度，裁判以口头警告为主。,研究1930比赛需对照当时竞赛规则而非现代IFAB文本。,comparison,"1930,无红黄牌,规则,1970","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,进阶,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
WC-WCED-01059,历届世界杯,第01届1930乌拉圭,无官方奖项,world_cup,5,1930有金手套吗?,1930奖项,当届无官方金靴、金手套、最佳球员等现代奖项。,最佳射手等数据多为后世档案回溯统计。,fact,"1930,无奖项,金靴,回溯","历届,1930,乌拉圭",tournament:1930年乌拉圭世界杯,,进阶,1930,1930,全球,zh-CN,history,official,historical_record,FIFA 1930 World Cup official report / historical records,,2026-06-03
