id,category_l1,category_l2,category_l3,scope,priority,question,question_aliases,answer_short,answer_detail,answer_format,keywords,tags,entities,related_ids,difficulty,era_start,era_end,region,language,fact_type,confidence,source_type,source_ref,content_flags,updated_at
WC-RECD-00011,纪录与统计,总进球纪录,总进球纪录1,both,4,历史射手王是什么?,历史射手王,德国米罗斯拉夫·克洛泽以16球保持世界杯历史射手王纪录。,克洛泽2002-2014四届攻入16球，2014年超越罗纳尔多15球。,fact,"克洛泽,16球,射手王,德国","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00012,纪录与统计,总进球纪录,总进球纪录2,both,4,罗纳尔多世界杯进了几球?,罗纳尔多进球,罗纳尔多在世界杯共打入15球，2002年8球获金靴并夺冠。,巴西2002年第七次夺冠核心。,fact,"罗纳尔多,15球,2002,巴西","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00013,纪录与统计,总进球纪录,总进球纪录3,both,4,方丹单届13球纪录?,方丹纪录,法国方丹1958年单届13球，为世界杯单届进球纪录。,该届巴西首次夺冠。,fact,"方丹,13球,1958,法国","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00014,纪录与统计,总进球纪录,总进球纪录4,both,4,米罗斯拉夫·克洛泽世界杯总共进了几球?,米罗斯拉夫·克洛泽世界杯进球,米罗斯拉夫·克洛泽在世界杯共打入16球，代表德国。,数据来自FIFA官方世界杯统计。,fact,"米罗斯拉夫·克洛泽,16球,德国,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00015,纪录与统计,总进球纪录,总进球纪录5,both,4,罗纳尔多世界杯总共进了几球?,罗纳尔多世界杯进球,罗纳尔多在世界杯共打入15球，代表巴西。,数据来自FIFA官方世界杯统计。,fact,"罗纳尔多,15球,巴西,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00016,纪录与统计,总进球纪录,总进球纪录6,both,4,盖德·穆勒世界杯总共进了几球?,盖德·穆勒世界杯进球,盖德·穆勒在世界杯共打入14球，代表德国。,数据来自FIFA官方世界杯统计。,fact,"盖德·穆勒,14球,德国,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00017,纪录与统计,总进球纪录,总进球纪录7,both,4,朱斯特·方丹世界杯总共进了几球?,朱斯特·方丹世界杯进球,朱斯特·方丹在世界杯共打入13球，代表法国。,数据来自FIFA官方世界杯统计。,fact,"朱斯特·方丹,13球,法国,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00018,纪录与统计,总进球纪录,总进球纪录8,both,4,贝利世界杯总共进了几球?,贝利世界杯进球,贝利在世界杯共打入12球，代表巴西。,数据来自FIFA官方世界杯统计。,fact,"贝利,12球,巴西,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00019,纪录与统计,总进球纪录,总进球纪录9,both,4,基利安·姆巴佩世界杯总共进了几球?,基利安·姆巴佩世界杯进球,基利安·姆巴佩在世界杯共打入12球，代表法国。,数据来自FIFA官方世界杯统计。,fact,"基利安·姆巴佩,12球,法国,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00020,纪录与统计,总进球纪录,总进球纪录10,both,4,格里兹曼世界杯总共进了几球?,格里兹曼世界杯进球,格里兹曼在世界杯共打入11球，代表法国。,数据来自FIFA官方世界杯统计。,fact,"格里兹曼,11球,法国,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00021,纪录与统计,总进球纪录,总进球纪录11,both,4,克林斯曼世界杯总共进了几球?,克林斯曼世界杯进球,克林斯曼在世界杯共打入11球，代表德国。,数据来自FIFA官方世界杯统计。,fact,"克林斯曼,11球,德国,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00022,纪录与统计,总进球纪录,总进球纪录12,both,4,托马斯·穆勒世界杯总共进了几球?,托马斯·穆勒世界杯进球,托马斯·穆勒在世界杯共打入10球，代表德国。,数据来自FIFA官方世界杯统计。,fact,"托马斯·穆勒,10球,德国,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00023,纪录与统计,总进球纪录,总进球纪录13,both,4,哈里·凯恩世界杯总共进了几球?,哈里·凯恩世界杯进球,哈里·凯恩在世界杯共打入10球，代表英格兰。,数据来自FIFA官方世界杯统计。,fact,"哈里·凯恩,10球,英格兰,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00024,纪录与统计,总进球纪录,总进球纪录14,both,4,加布里埃尔·巴蒂斯图塔世界杯总共进了几球?,加布里埃尔·巴蒂斯图塔世界杯进球,加布里埃尔·巴蒂斯图塔在世界杯共打入10球，代表阿根廷。,数据来自FIFA官方世界杯统计。,fact,"加布里埃尔·巴蒂斯图塔,10球,阿根廷,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00025,纪录与统计,总进球纪录,总进球纪录15,both,4,蒂埃里·亨利世界杯总共进了几球?,蒂埃里·亨利世界杯进球,蒂埃里·亨利在世界杯共打入9球，代表法国。,数据来自FIFA官方世界杯统计。,fact,"蒂埃里·亨利,9球,法国,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00026,纪录与统计,总进球纪录,总进球纪录16,both,4,保罗·罗西世界杯总共进了几球?,保罗·罗西世界杯进球,保罗·罗西在世界杯共打入9球，代表意大利。,数据来自FIFA官方世界杯统计。,fact,"保罗·罗西,9球,意大利,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00027,纪录与统计,总进球纪录,总进球纪录17,both,4,尤西比奥世界杯总共进了几球?,尤西比奥世界杯进球,尤西比奥在世界杯共打入9球，代表葡萄牙。,数据来自FIFA官方世界杯统计。,fact,"尤西比奥,9球,葡萄牙,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00028,纪录与统计,总进球纪录,总进球纪录18,both,4,罗伯托·巴乔世界杯总共进了几球?,罗伯托·巴乔世界杯进球,罗伯托·巴乔在世界杯共打入9球，代表意大利。,数据来自FIFA官方世界杯统计。,fact,"罗伯托·巴乔,9球,意大利,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00029,纪录与统计,总进球纪录,总进球纪录19,both,4,里瓦尔多世界杯总共进了几球?,里瓦尔多世界杯进球,里瓦尔多在世界杯共打入8球，代表巴西。,数据来自FIFA官方世界杯统计。,fact,"里瓦尔多,8球,巴西,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00030,纪录与统计,总进球纪录,总进球纪录20,both,4,C罗世界杯总共进了几球?,C罗世界杯进球,C罗在世界杯共打入8球，代表葡萄牙。,数据来自FIFA官方世界杯统计。,fact,"C罗,8球,葡萄牙,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00031,纪录与统计,总进球纪录,总进球纪录21,both,4,内马尔世界杯总共进了几球?,内马尔世界杯进球,内马尔在世界杯共打入8球，代表巴西。,数据来自FIFA官方世界杯统计。,fact,"内马尔,8球,巴西,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00032,纪录与统计,总进球纪录,总进球纪录22,both,4,利昂内尔·梅西世界杯总共进了几球?,利昂内尔·梅西世界杯进球,利昂内尔·梅西在世界杯共打入13球，代表阿根廷。,数据来自FIFA官方世界杯统计。,fact,"利昂内尔·梅西,13球,阿根廷,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00033,纪录与统计,总进球纪录,总进球纪录23,both,4,苏克世界杯总共进了几球?,苏克世界杯进球,苏克在世界杯共打入6球，代表克罗地亚。,数据来自FIFA官方世界杯统计。,fact,"苏克,6球,克罗地亚,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00034,纪录与统计,总进球纪录,总进球纪录24,both,4,肯佩斯世界杯总共进了几球?,肯佩斯世界杯进球,肯佩斯在世界杯共打入6球，代表阿根廷。,数据来自FIFA官方世界杯统计。,fact,"肯佩斯,6球,阿根廷,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00035,纪录与统计,总进球纪录,总进球纪录25,both,4,詹姆斯·罗德里格斯世界杯总共进了几球?,詹姆斯·罗德里格斯世界杯进球,詹姆斯·罗德里格斯在世界杯共打入6球，代表哥伦比亚。,数据来自FIFA官方世界杯统计。,fact,"詹姆斯·罗德里格斯,6球,哥伦比亚,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00036,纪录与统计,总进球纪录,总进球纪录26,both,4,萨连科世界杯总共进了几球?,萨连科世界杯进球,萨连科在世界杯共打入6球，代表俄罗斯。,数据来自FIFA官方世界杯统计。,fact,"萨连科,6球,俄罗斯,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00037,纪录与统计,总进球纪录,总进球纪录27,both,4,莫德里奇世界杯总共进了几球?,莫德里奇世界杯进球,莫德里奇在世界杯共打入2球，代表克罗地亚。,数据来自FIFA官方世界杯统计。,fact,"莫德里奇,2球,克罗地亚,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00038,纪录与统计,总进球纪录,总进球纪录28,both,4,范佩西世界杯总共进了几球?,范佩西世界杯进球,范佩西在世界杯共打入6球，代表荷兰。,数据来自FIFA官方世界杯统计。,fact,"范佩西,6球,荷兰,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00039,纪录与统计,总进球纪录,总进球纪录29,both,4,斯内德世界杯总共进了几球?,斯内德世界杯进球,斯内德在世界杯共打入6球，代表荷兰。,数据来自FIFA官方世界杯统计。,fact,"斯内德,6球,荷兰,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00040,纪录与统计,总进球纪录,总进球纪录30,both,4,罗本世界杯总共进了几球?,罗本世界杯进球,罗本在世界杯共打入6球，代表荷兰。,数据来自FIFA官方世界杯统计。,fact,"罗本,6球,荷兰,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00041,纪录与统计,总进球纪录,总进球纪录31,both,4,托雷斯世界杯总共进了几球?,托雷斯世界杯进球,托雷斯在世界杯共打入5球，代表西班牙。,数据来自FIFA官方世界杯统计。,fact,"托雷斯,5球,西班牙,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00042,纪录与统计,总进球纪录,总进球纪录32,both,4,比利亚世界杯总共进了几球?,比利亚世界杯进球,比利亚在世界杯共打入5球，代表西班牙。,数据来自FIFA官方世界杯统计。,fact,"比利亚,5球,西班牙,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00043,纪录与统计,总进球纪录,总进球纪录33,both,4,克罗斯世界杯总共进了几球?,克罗斯世界杯进球,克罗斯在世界杯共打入5球，代表德国。,数据来自FIFA官方世界杯统计。,fact,"克罗斯,5球,德国,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00044,纪录与统计,总进球纪录,总进球纪录34,both,4,佩佩世界杯总共进了几球?,佩佩世界杯进球,佩佩在世界杯共打入5球，代表葡萄牙。,数据来自FIFA官方世界杯统计。,fact,"佩佩,5球,葡萄牙,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00045,纪录与统计,总进球纪录,总进球纪录35,both,4,德布劳内世界杯总共进了几球?,德布劳内世界杯进球,德布劳内在世界杯共打入5球，代表比利时。,数据来自FIFA官方世界杯统计。,fact,"德布劳内,5球,比利时,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00046,纪录与统计,总进球纪录,总进球纪录36,both,4,吉列尔莫·斯塔比莱世界杯总共进了几球?,吉列尔莫·斯塔比莱世界杯进球,吉列尔莫·斯塔比莱在世界杯共打入8球，代表阿根廷。,数据来自FIFA官方世界杯统计。,fact,"吉列尔莫·斯塔比莱,8球,阿根廷,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00047,纪录与统计,总进球纪录,总进球纪录37,both,4,阿德马尔世界杯总共进了几球?,阿德马尔世界杯进球,阿德马尔在世界杯共打入9球，代表巴西。,数据来自FIFA官方世界杯统计。,fact,"阿德马尔,9球,巴西,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00048,纪录与统计,总进球纪录,总进球纪录38,both,4,桑多尔·柯奇士世界杯总共进了几球?,桑多尔·柯奇士世界杯进球,桑多尔·柯奇士在世界杯共打入11球，代表匈牙利。,数据来自FIFA官方世界杯统计。,fact,"桑多尔·柯奇士,11球,匈牙利,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00049,纪录与统计,总进球纪录,总进球纪录39,both,4,莱昂尼达斯世界杯总共进了几球?,莱昂尼达斯世界杯进球,莱昂尼达斯在世界杯共打入7球，代表巴西。,数据来自FIFA官方世界杯统计。,fact,"莱昂尼达斯,7球,巴西,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00050,纪录与统计,总进球纪录,总进球纪录40,both,4,斯基拉奇世界杯总共进了几球?,斯基拉奇世界杯进球,斯基拉奇在世界杯共打入6球，代表意大利。,数据来自FIFA官方世界杯统计。,fact,"斯基拉奇,6球,意大利,射手","纪录,总进球纪录,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00051,纪录与统计,单届进球,方丹13球,both,4,世界杯单届进球最多?,方丹13球,方丹1958年法国主场单届13球不可破,方丹1958年法国主场单届13球不可破。,fact,"方丹13球,单届进球,纪录,世界杯","纪录,单届进球,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00052,纪录与统计,单届进球,穆勒10球,both,4,世界杯穆勒1970进球?,穆勒10球,盖德穆勒1970年单届10球,盖德穆勒1970年单届10球。,fact,"穆勒10球,单届进球,纪录,世界杯","纪录,单届进球,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00053,纪录与统计,单届进球,罗纳尔多8球,both,4,世界杯罗纳尔多2002进球?,罗纳尔多8球,罗纳尔多2002年单届8球夺冠,罗纳尔多2002年单届8球夺冠。,fact,"罗纳尔多8球,单届进球,纪录,世界杯","纪录,单届进球,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00054,纪录与统计,单届进球,姆巴佩8球,both,4,世界杯姆巴佩2022单届进球?,姆巴佩8球,姆巴佩2022年单届8球获金靴,姆巴佩2022年单届8球获金靴。,fact,"姆巴佩8球,单届进球,纪录,世界杯","纪录,单届进球,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00055,纪录与统计,单届进球,肯佩斯6球,both,4,世界杯肯佩斯1978进球?,肯佩斯6球,肯佩斯1978年阿根廷夺冠6球,肯佩斯1978年阿根廷夺冠6球。,fact,"肯佩斯6球,单届进球,纪录,世界杯","纪录,单届进球,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00056,纪录与统计,单届进球,莱因克尔6球,both,4,世界杯莱因克尔1986进球?,莱因克尔6球,莱因克尔1986年单届6球未失球,莱因克尔1986年单届6球未失球。,fact,"莱因克尔6球,单届进球,纪录,世界杯","纪录,单届进球,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00057,纪录与统计,单届进球,萨连科5球,both,4,世界杯萨连科1994五球?,萨连科5球,萨连科1994年对喀麦隆单场5球,萨连科1994年对喀麦隆单场5球。,fact,"萨连科5球,单届进球,纪录,世界杯","纪录,单届进球,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00058,纪录与统计,单届进球,欧文5球,both,4,世界杯欧文1998进球?,欧文5球,欧文1998年法国世界杯5球,欧文1998年法国世界杯5球。,fact,"欧文5球,单届进球,纪录,世界杯","纪录,单届进球,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00059,纪录与统计,单届进球,罗纳尔迪尼奥,both,4,世界杯小罗2002进球?,罗纳尔迪尼奥,罗纳尔迪尼奥2002年贡献2球,罗纳尔迪尼奥2002年贡献2球。,fact,"罗纳尔迪尼奥,单届进球,纪录,世界杯","纪录,单届进球,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00060,纪录与统计,单届进球,哈里凯恩,both,4,世界杯凯恩2018金靴?,哈里凯恩,凯恩2018年6球获金靴,凯恩2018年6球获金靴。,fact,"哈里凯恩,单届进球,纪录,世界杯","纪录,单届进球,统计",,,入门,,,全球,zh-CN,record,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00061,纪录与统计,单届进球,单届进球51,both,4,1930金靴是什么?,1930金靴,吉列尔莫·斯塔比莱以8球获1930年世界杯金靴（或并列）。,该届共70球，乌拉圭夺冠。,fact,"1930,金靴,吉列尔莫·斯塔比莱,8球","纪录,单届进球,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00062,纪录与统计,单届进球,单届进球52,both,4,1930年世界杯场均进球?,1930场均,1930年世界杯共70球，13队参赛。,冠军乌拉圭，决赛蒙得维的亚。,fact,"1930,场均,进球,70球","纪录,单届进球,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00063,纪录与统计,单届进球,单届进球53,both,4,1934金靴是什么?,1934金靴,奥尔西以4球获1934年世界杯金靴（或并列）。,该届共70球，意大利夺冠。,fact,"1934,金靴,奥尔西,4球","纪录,单届进球,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00064,纪录与统计,单届进球,单届进球54,both,4,1934年世界杯场均进球?,1934场均,1934年世界杯共70球，16队参赛。,冠军意大利，决赛罗马。,fact,"1934,场均,进球,70球","纪录,单届进球,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00065,纪录与统计,单届进球,单届进球55,both,4,1938金靴是什么?,1938金靴,莱昂尼达斯以7球获1938年世界杯金靴（或并列）。,该届共84球，意大利夺冠。,fact,"1938,金靴,莱昂尼达斯,7球","纪录,单届进球,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00066,纪录与统计,单届进球,单届进球56,both,4,1938年世界杯场均进球?,1938场均,1938年世界杯共84球，15队参赛。,冠军意大利，决赛巴黎。,fact,"1938,场均,进球,84球","纪录,单届进球,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00067,纪录与统计,单届进球,单届进球57,both,4,1950金靴是什么?,1950金靴,阿德马尔以9球获1950年世界杯金靴（或并列）。,该届共88球，乌拉圭夺冠。,fact,"1950,金靴,阿德马尔,9球","纪录,单届进球,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00068,纪录与统计,单届进球,单届进球58,both,4,1950年世界杯场均进球?,1950场均,1950年世界杯共88球，13队参赛。,冠军乌拉圭，决赛里约热内卢。,fact,"1950,场均,进球,88球","纪录,单届进球,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00069,纪录与统计,单届进球,单届进球59,both,4,1954金靴是什么?,1954金靴,桑多尔·柯奇士以11球获1954年世界杯金靴（或并列）。,该届共140球，西德夺冠。,fact,"1954,金靴,桑多尔·柯奇士,11球","纪录,单届进球,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00070,纪录与统计,单届进球,单届进球60,both,4,1954年世界杯场均进球?,1954场均,1954年世界杯共140球，16队参赛。,冠军西德，决赛伯尔尼。,fact,"1954,场均,进球,140球","纪录,单届进球,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00071,纪录与统计,单届进球,单届进球61,both,4,1958金靴是什么?,1958金靴,朱斯特·方丹以13球获1958年世界杯金靴（或并列）。,该届共126球，巴西夺冠。,fact,"1958,金靴,朱斯特·方丹,13球","纪录,单届进球,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
WC-RECD-00072,纪录与统计,单届进球,单届进球62,both,4,1958年世界杯场均进球?,1958场均,1958年世界杯共126球，16队参赛。,冠军巴西，决赛斯德哥尔摩。,fact,"1958,场均,进球,126球","纪录,单届进球,统计",,,入门,,,全球,zh-CN,stat,verified,,FIFA World Cup official records; documented match statistics,,2026-06-05
