task_id,phase,phase_name,task_order,task_name,task_type,output_file,target_rows,batch_size,status,priority,depends_on,acceptance_criteria,data_source_hint,estimated_hours,actual_rows,owner,notes
T025,2,术语百科,6,术语批次06:裁判术语,data,data/knowledge_glossary.csv,50,50,done,P1,T020,,,3,50,,
T026,2,术语百科,7,术语批次07:转会市场用语(非博彩),data,data/knowledge_glossary.csv,50,50,done,P2,T024,,,3,50,,排除赔率盘口类
T027,2,术语百科,8,术语批次08:青训与梯队,data,data/knowledge_glossary.csv,50,50,done,P2,T024,,,3,50,,
T028,2,术语百科,9,术语批次09:装备与场地,data,data/knowledge_glossary.csv,50,50,done,P2,T024,,,3,50,,
T029,2,术语百科,10,术语批次10:世界杯专属术语,data,data/knowledge_glossary.csv,50,50,done,P0,T024,,,3,50,,
T030,2,术语百科,11,术语百科质量抽检,review,data/knowledge_glossary.csv,500,50,done,P0,T029,500条全量校验+抽检5%,,3,500,,
T040,3,规则与裁判,1,规则批次01:比赛基本规则,data,data/knowledge_rules.csv,50,50,done,P0,T030,开球/界外球/球门球等,,4,50,,
T041,3,规则与裁判,2,规则批次02:越位规则,data,data/knowledge_rules.csv,50,50,done,P0,T040,,,4,50,,
T042,3,规则与裁判,3,规则批次03:犯规与任意球,data,data/knowledge_rules.csv,50,50,done,P0,T040,,,4,50,,
T043,3,规则与裁判,4,规则批次04:点球与点球大战,data,data/knowledge_rules.csv,50,50,done,P0,T042,,,4,50,,
T044,3,规则与裁判,5,规则批次05:红黄牌与纪律,data,data/knowledge_rules.csv,50,50,done,P0,T042,,,4,50,,
T045,3,规则与裁判,6,规则批次06:换人替补,data,data/knowledge_rules.csv,50,50,done,P1,T040,,,3,50,,
T046,3,规则与裁判,7,规则批次07:补时与加时,data,data/knowledge_rules.csv,50,50,done,P1,T040,,,3,50,,
T047,3,规则与裁判,8,规则批次08:VAR与辅助判罚,data,data/knowledge_rules.csv,50,50,done,P0,T040,,,4,50,,
T048,3,规则与裁判,9,规则批次09:手球与争议判罚,data,data/knowledge_rules.csv,50,50,done,P1,T047,,,4,50,,
T049,3,规则与裁判,10,规则批次10:门将规则,data,data/knowledge_rules.csv,50,50,done,P2,T040,,,3,50,,
T050,3,规则与裁判,11,规则批次11:定位球战术规则,data,data/knowledge_rules.csv,50,50,done,P2,T042,,,3,50,,
T051,3,规则与裁判,12,规则批次12:世界杯特殊规则,data,data/knowledge_rules.csv,50,50,done,P0,T040,,,4,50,,
T052,3,规则与裁判,13,规则批次13:2026规则变化,data,data/knowledge_rules.csv,50,50,done,P1,T051,标记time_sensitive,,4,50,,
T053,3,规则与裁判,14,规则批次14:业余常见误解,data,data/knowledge_rules.csv,50,50,done,P1,T051,,,3,50,,
T054,3,规则与裁判,15,规则批次15:裁判手势与信号,data,data/knowledge_rules.csv,50,50,done,P2,T044,,,3,50,,
T055,3,规则与裁判,16,规则批次16:边界案例FAQ,data,data/knowledge_rules.csv,50,50,done,P2,T053,,,4,50,,
T056,3,规则与裁判,17,规则与裁判质量抽检,review,data/knowledge_rules.csv,800,50,done,P0,T055,800条校验+与IFAB交叉核对,,6,800,,
T060,4,赛制与组织,1,赛制批次01:世界杯创立与归属,data,data/knowledge_tournament_format.csv,50,50,done,P0,T056,FIFA与世界杯关系,,3,50,,
T061,4,赛制与组织,2,赛制批次02:预选赛体系,data,data/knowledge_tournament_format.csv,50,50,done,P0,T060,各大洲预选赛,,4,50,,
T062,4,赛制与组织,3,赛制批次03:正赛32强赛制,data,data/knowledge_tournament_format.csv,50,50,done,P0,T060,小组+淘汰,,4,50,,
T063,4,赛制与组织,4,赛制批次04:2026扩军48队,data,data/knowledge_tournament_format.csv,50,50,done,P0,T062,新赛制FAQ,,4,50,,
T064,4,赛制与组织,5,赛制批次05:抽签与分档,data,data/knowledge_tournament_format.csv,50,50,done,P1,T062,,,3,50,,
T065,4,赛制与组织,6,赛制批次06:主办国与申办,data,data/knowledge_tournament_format.csv,50,50,done,P1,T060,,,3,50,,
T066,4,赛制与组织,7,赛制批次07:赛程与休息,data,data/knowledge_tournament_format.csv,50,50,done,P2,T062,,,3,50,,
T067,4,赛制与组织,8,赛制批次08:奖项设置,data,data/knowledge_tournament_format.csv,50,50,done,P1,T060,金靴/金球/最佳门将等,,3,50,,
T068,4,赛制与组织,9,赛制批次09:公平竞赛与排名,data,data/knowledge_tournament_format.csv,50,50,done,P2,T062,,,3,50,,
T069,4,赛制与组织,10,赛制批次10:与俱乐部赛事冲突,data,data/knowledge_tournament_format.csv,50,50,done,P2,T066,,,3,50,,
T070,4,赛制与组织,11,赛制与组织质量抽检,review,data/knowledge_tournament_format.csv,600,50,done,P0,T069,,,4,500,,
T080,5,世界杯历史,1,历史批次01:创立与早期(1930-1950),data,data/knowledge_wc_history.csv,70,70,done,P0,T070,,,4,70,,
T081,5,世界杯历史,2,历史批次02:扩张年代(1954-1970),data,data/knowledge_wc_history.csv,70,70,done,P0,T080,,,4,70,,
T082,5,世界杯历史,3,历史批次03:电视时代(1974-1990),data,data/knowledge_wc_history.csv,70,70,done,P0,T081,,,4,70,,
T083,5,世界杯历史,4,历史批次04:现代世界杯(1994-2010),data,data/knowledge_wc_history.csv,70,70,done,P0,T082,,,4,70,,
T084,5,世界杯历史,5,历史批次05:近期世界杯(2014-2022),data,data/knowledge_wc_history.csv,70,70,done,P0,T083,,,4,70,,
T085,5,世界杯历史,6,历史批次06:经典决赛与瞬间,data,data/knowledge_wc_history.csv,70,70,done,P1,T084,,,5,70,,
T086,5,世界杯历史,7,历史批次07:争议事件与改革,data,data/knowledge_wc_history.csv,70,70,done,P1,T084,,,4,70,,
T087,5,世界杯历史,8,历史批次08:数据里程碑,data,data/knowledge_wc_history.csv,70,70,done,P1,T084,,,4,70,,
T088,5,世界杯历史,9,历史批次09:吉祥物主题曲文化,data,data/knowledge_wc_history.csv,70,70,done,P2,T084,,,3,70,,
T089,5,世界杯历史,10,历史批次10:世界杯与政治社会,data,data/knowledge_wc_history.csv,70,70,done,P2,T086,,,4,70,,
T090,5,世界杯历史,11,历史概览质量抽检,review,data/knowledge_wc_history.csv,700,70,done,P0,T089,,,5,700,,
T100,6,历届世界杯,1,第01届1930乌拉圭,data,data/knowledge_wc_editions.csv,90,90,done,P0,T090,冠军/金靴/赛制/亮点,,5,90,,
T101,6,历届世界杯,2,第02届1934意大利,data,data/knowledge_wc_editions.csv,90,90,done,P1,T100,,,5,90,,
T102,6,历届世界杯,3,第03届1938法国,data,data/knowledge_wc_editions.csv,90,90,done,P1,T101,,,5,90,,
T103,6,历届世界杯,4,第04届1950巴西,data,data/knowledge_wc_editions.csv,90,90,done,P0,T102,含马拉卡纳惨案,,5,90,,
T104,6,历届世界杯,5,第05届1954瑞士,data,data/knowledge_wc_editions.csv,90,90,done,P1,T103,,,5,90,,
T105,6,历届世界杯,6,第06届1958瑞典,data,data/knowledge_wc_editions.csv,90,90,done,P0,T104,贝利首秀,,5,90,,
T106,6,历届世界杯,7,第07届1962智利,data,data/knowledge_wc_editions.csv,90,90,done,P1,T105,,,5,90,,
T107,6,历届世界杯,8,第08届1966英格兰,data,data/knowledge_wc_editions.csv,90,90,done,P0,T106,门线悬案,,5,90,,
T108,6,历届世界杯,9,第09届1970墨西哥,data,data/knowledge_wc_editions.csv,90,90,done,P0,T107,巴西三冠,,5,90,,
T109,6,历届世界杯,10,第10届1974西德,data,data/knowledge_wc_editions.csv,90,90,done,P1,T108,荷兰全攻全守,,5,90,,
T110,6,历届世界杯,11,第11届1978阿根廷,data,data/knowledge_wc_editions.csv,90,90,done,P1,T109,,,5,90,,
T111,6,历届世界杯,12,第12届1982西班牙,data,data/knowledge_wc_editions.csv,90,90,done,P1,T110,,,5,90,,
T112,6,历届世界杯,13,第13届1986墨西哥,data,data/knowledge_wc_editions.csv,90,90,done,P0,T111,马拉多纳,,5,90,,
T113,6,历届世界杯,14,第14届1990意大利,data,data/knowledge_wc_editions.csv,90,90,done,P1,T112,,,5,90,,
T114,6,历届世界杯,15,第15届1994美国,data,data/knowledge_wc_editions.csv,90,90,done,P1,T113,,,5,90,,
T115,6,历届世界杯,16,第16届1998法国,data,data/knowledge_wc_editions.csv,90,90,done,P0,T114,齐达内,,5,90,,
T116,6,历届世界杯,17,第17届2002日韩,data,data/knowledge_wc_editions.csv,90,90,done,P0,T115,亚洲首次,,5,90,,
T117,6,历届世界杯,18,第18届2006德国,data,data/knowledge_wc_editions.csv,90,90,done,P1,T116,,,5,90,,
T118,6,历届世界杯,19,第19届2010南非,data,data/knowledge_wc_editions.csv,90,90,done,P1,T117,,,5,90,,
T119,6,历届世界杯,20,第20届2014巴西,data,data/knowledge_wc_editions.csv,90,90,done,P0,T118,7-1等,,5,90,,
T120,6,历届世界杯,21,第21届2018俄罗斯,data,data/knowledge_wc_editions.csv,90,90,done,P0,T119,VAR首次,,5,90,,
T121,6,历届世界杯,22,第22届2022卡塔尔,data,data/knowledge_wc_editions.csv,90,90,done,P0,T120,冬季举办,,5,90,,
T122,6,历届世界杯,23,第23届2026美加墨(前瞻),data,data/knowledge_wc_editions.csv,80,80,done,P1,T121,已公布信息+标记time_sensitive,,4,80,,
T123,6,历届世界杯,24,历届世界杯质量抽检,review,data/knowledge_wc_editions.csv,2000,2060,done,P0,T122,每届抽检10条交叉核对,,8,2060,,
T130,7,国家队,1,国家队批次01:巴西,data,data/knowledge_national_teams.csv,60,60,done,P0,T123,历史/绰号/世界杯战绩,,4,60,,WC-NTEM-00001–00060
T131,7,国家队,2,国家队批次02:阿根廷,data,data/knowledge_national_teams.csv,60,60,done,P0,T130,,,4,60,,WC-NTEM-00061–00120
T132,7,国家队,3,国家队批次03:德国,data,data/knowledge_national_teams.csv,60,60,done,P0,T130,,,4,60,,WC-NTEM-00121–00180
T133,7,国家队,4,国家队批次04:意大利,data,data/knowledge_national_teams.csv,60,60,done,P0,T130,,,4,60,,WC-NTEM-00181–00240
T134,7,国家队,5,国家队批次05:法国,data,data/knowledge_national_teams.csv,60,60,done,P0,T130,,,4,60,,WC-NTEM-00241–00300
T135,7,国家队,6,国家队批次06:英格兰,data,data/knowledge_national_teams.csv,60,60,done,P1,T130,,,4,60,,WC-NTEM-00301–00360
T136,7,国家队,7,国家队批次07:西班牙,data,data/knowledge_national_teams.csv,60,60,done,P1,T130,,,4,60,,WC-NTEM-00361–00420
T137,7,国家队,8,国家队批次08:荷兰,data,data/knowledge_national_teams.csv,60,60,done,P1,T130,,,4,60,,WC-NTEM-00421–00480
T138,7,国家队,9,国家队批次09:乌拉圭,data,data/knowledge_national_teams.csv,60,60,done,P1,T130,,,4,60,,WC-NTEM-00481–00540
T139,7,国家队,10,国家队批次10:葡萄牙,data,data/knowledge_national_teams.csv,60,60,done,P1,T130,,,4,60,,WC-NTEM-00541–00600
T140,7,国家队,11,国家队批次11:比利时,data,data/knowledge_national_teams.csv,60,60,done,P2,T130,,,4,60,,WC-NTEM-00601–00660
T141,7,国家队,12,国家队批次12:克罗地亚,data,data/knowledge_national_teams.csv,60,60,done,P2,T130,,,4,60,,WC-NTEM-00661–00720
T142,7,国家队,13,国家队批次13:非洲强队,data,data/knowledge_national_teams.csv,60,60,done,P1,T130,塞内加尔/喀麦隆/尼日利亚等,,4,60,,WC-NTEM-00721–00780
T143,7,国家队,14,国家队批次14:亚洲强队,data,data/knowledge_national_teams.csv,60,60,done,P1,T130,日韩澳沙等,,4,60,,WC-NTEM-00781–00840
T144,7,国家队,15,国家队批次15:美洲其他,data,data/knowledge_national_teams.csv,60,60,done,P2,T130,墨西哥/哥伦比亚/智利等,,4,60,,WC-NTEM-00841–00900
T145,7,国家队,16,国家队批次16:黑马与冷门,data,data/knowledge_national_teams.csv,60,60,done,P1,T144,哥斯达黎加/冰岛等,,4,60,,WC-NTEM-00901–00960
T146,7,国家队,17,国家队批次17:从未夺冠强队,data,data/knowledge_national_teams.csv,60,60,done,P2,T145,,,4,60,,WC-NTEM-00961–01020
T147,7,国家队,18,国家队批次18:新军与资格赛故事,data,data/knowledge_national_teams.csv,60,60,done,P2,T145,,,4,60,,WC-NTEM-01021–01080
T148,7,国家队,19,国家队批次19:队徽球衣绰号,data,data/knowledge_national_teams.csv,60,60,done,P2,T130,,,4,60,,WC-NTEM-01081–01140
T149,7,国家队,20,国家队批次20:洲际分布FAQ,data,data/knowledge_national_teams.csv,60,60,done,P2,T148,,,3,60,,WC-NTEM-01141–01200
T150,7,国家队,21,国家队质量抽检,review,data/knowledge_national_teams.csv,1200,60,done,P0,T149,,,6,1200,,T150-national-teams-review.md
T160,8,球员与教练,1,球员批次01:球王与GOAT讨论(事实向),data,data/knowledge_players_coaches.csv,50,50,done,P0,T150,只陈述事实不引战,,4,50,,WC-PLCO-00001–00050
T161,8,球员与教练,2,球员批次02:巴西传奇,data,data/knowledge_players_coaches.csv,50,50,done,P0,T160,,,4,50,,WC-PLCO-00051–00100
T162,8,球员与教练,3,球员批次03:阿根廷传奇,data,data/knowledge_players_coaches.csv,50,50,done,P0,T161,,,4,50,,WC-PLCO-00101–00150
T163,8,球员与教练,4,球员批次04:欧洲传奇前锋,data,data/knowledge_players_coaches.csv,50,50,done,P1,T161,,,4,50,,WC-PLCO-00151–00200
T164,8,球员与教练,5,球员批次05:欧洲传奇中场,data,data/knowledge_players_coaches.csv,50,50,done,P1,T163,,,4,50,,WC-PLCO-00201–00250
T165,8,球员与教练,6,球员批次06:欧洲传奇后卫,data,data/knowledge_players_coaches.csv,50,50,done,P1,T163,,,4,50,,WC-PLCO-00251–00300
T166,8,球员与教练,7,球员批次07:传奇门将,data,data/knowledge_players_coaches.csv,50,50,done,P1,T163,,,4,50,,WC-PLCO-00301–00350
T167,8,球员与教练,8,球员批次08:非洲球星,data,data/knowledge_players_coaches.csv,50,50,done,P1,T166,,,4,50,,WC-PLCO-00351–00400
T168,8,球员与教练,9,球员批次09:亚洲球星,data,data/knowledge_players_coaches.csv,50,50,done,P1,T166,,,4,50,,WC-PLCO-00401–00450
T169,8,球员与教练,10,球员批次10:美洲其他球星,data,data/knowledge_players_coaches.csv,50,50,done,P2,T166,,,4,50,,WC-PLCO-00451–00500
T170,8,球员与教练,11,球员批次11:世界杯金靴系列,data,data/knowledge_players_coaches.csv,50,50,done,P0,T166,,,4,50,,WC-PLCO-00501–00550
T171,8,球员与教练,12,球员批次12:世界杯金球系列,data,data/knowledge_players_coaches.csv,50,50,done,P0,T170,,,4,50,,WC-PLCO-00551–00600
T172,8,球员与教练,13,球员批次13:单届传奇表现,data,data/knowledge_players_coaches.csv,50,50,done,P1,T171,,,4,50,,WC-PLCO-00601–00650
T173,8,球员与教练,14,球员批次14:常青树与纪录,data,data/knowledge_players_coaches.csv,50,50,done,P1,T172,,,4,50,,WC-PLCO-00651–00700
T174,8,球员与教练,15,球员批次15:天才早退与遗憾,data,data/knowledge_players_coaches.csv,50,50,done,P2,T172,,,4,50,,WC-PLCO-00701–00750
T175,8,球员与教练,16,教练批次01:冠军教练,data,data/knowledge_players_coaches.csv,50,50,done,P0,T172,,,4,50,,WC-PLCO-00751–00800
T176,8,球员与教练,17,教练批次02:名帅战术标签,data,data/knowledge_players_coaches.csv,50,50,done,P1,T175,,,4,50,,WC-PLCO-00801–00850
T177,8,球员与教练,18,教练批次03:球员兼教练,data,data/knowledge_players_coaches.csv,50,50,done,P2,T175,,,3,50,,WC-PLCO-00851–00900
T178,8,球员与教练,19,球员批次16:00后新星(世界杯),data,data/knowledge_players_coaches.csv,50,50,done,P1,T173,姆巴佩/贝林等,,4,50,,WC-PLCO-00901–00950
T179,8,球员与教练,20,球员批次17:争议人物(事实),data,data/knowledge_players_coaches.csv,50,50,done,P2,T173,,,4,50,,WC-PLCO-00951–01000
T180,8,球员与教练,21,球员批次18:裁判与球员冲突案例,data,data/knowledge_players_coaches.csv,50,50,done,P2,T179,,,3,50,,WC-PLCO-01001–01050
T181,8,球员与教练,22,球员批次19:转会与国家队(非博彩),data,data/knowledge_players_coaches.csv,50,50,done,P2,T179,,,3,50,,WC-PLCO-01051–01100
T182,8,球员与教练,23,球员批次20:退役与纪念,data,data/knowledge_players_coaches.csv,50,50,done,P2,T181,,,3,50,,WC-PLCO-01101–01150
T183,8,球员与教练,24,球员批次21:女足球星交叉,data,data/knowledge_players_coaches.csv,50,50,done,P2,T181,,,3,50,,WC-PLCO-01151–01200
T184,8,球员与教练,25,球员批次22:常见球迷问答,data,data/knowledge_players_coaches.csv,50,50,done,P1,T182,,,4,50,,WC-PLCO-01201–01250
T185,8,球员与教练,26,球员批次23:号码与位置,data,data/knowledge_players_coaches.csv,50,50,done,P2,T184,,,3,50,,WC-PLCO-01251–01300
T186,8,球员与教练,27,球员批次24:国家队出场纪录,data,data/knowledge_players_coaches.csv,50,50,done,P2,T184,,,3,50,,WC-PLCO-01301–01350
T187,8,球员与教练,28,球员批次25:世界杯首球首帽,data,data/knowledge_players_coaches.csv,50,50,done,P2,T186,,,3,50,,WC-PLCO-01351–01400
T188,8,球员与教练,29,球员批次26:补遗与冷门球员,data,data/knowledge_players_coaches.csv,50,50,done,P2,T187,,,4,50,,WC-PLCO-01401–01450
T189,8,球员与教练,30,球员批次27:补遗2,data,data/knowledge_players_coaches.csv,50,50,done,P2,T188,,,4,50,,WC-PLCO-01451–01500
T190,8,球员与教练,31,球员与教练质量抽检,review,data/knowledge_players_coaches.csv,1500,50,done,P0,T189,,,8,1500,,T190-players-coaches-review.md
T200,9,俱乐部与联赛,1,联赛批次01:英超与世界杯,data,data/knowledge_clubs_leagues.csv,50,50,done,P1,T190,,,4,50,,WC-CLUB-00001–00050
T201,9,俱乐部与联赛,2,联赛批次02:西甲与世界杯,data,data/knowledge_clubs_leagues.csv,50,50,done,P1,T200,,,4,50,,WC-CLUB-00051–00100
T202,9,俱乐部与联赛,3,联赛批次03:意甲德甲法甲,data,data/knowledge_clubs_leagues.csv,50,50,done,P1,T200,,,4,50,,WC-CLUB-00101–00150
T203,9,俱乐部与联赛,4,联赛批次04:南美俱乐部,data,data/knowledge_clubs_leagues.csv,50,50,done,P2,T200,,,4,50,,WC-CLUB-00151–00200
T204,9,俱乐部与联赛,5,联赛批次05:欧冠与世界杯,data,data/knowledge_clubs_leagues.csv,50,50,done,P1,T200,,,4,50,,WC-CLUB-00201–00250
T205,9,俱乐部与联赛,6,联赛批次06:豪门国家队输出,data,data/knowledge_clubs_leagues.csv,50,50,done,P1,T204,,,4,50,,WC-CLUB-00251–00300
T206,9,俱乐部与联赛,7,联赛批次07:世界杯年赛程冲突,data,data/knowledge_clubs_leagues.csv,50,50,done,P2,T204,,,3,50,,WC-CLUB-00301–00350
T207,9,俱乐部与联赛,8,联赛批次08:经典俱乐部对比,data,data/knowledge_clubs_leagues.csv,50,50,done,P2,T205,,,4,50,,WC-CLUB-00351–00400
T208,9,俱乐部与联赛,9,联赛批次09:青训学院,data,data/knowledge_clubs_leagues.csv,50,50,done,P2,T205,,,3,50,,WC-CLUB-00401–00450
T209,9,俱乐部与联赛,10,联赛批次10:其他联赛,data,data/knowledge_clubs_leagues.csv,50,50,done,P2,T208,,,3,50,,WC-CLUB-00451–00500
T210,9,俱乐部与联赛,11,联赛批次11:女足俱乐部,data,data/knowledge_clubs_leagues.csv,50,50,done,P2,T209,,,3,50,,WC-CLUB-00501–00550
T211,9,俱乐部与联赛,12,联赛批次12:世界杯后转会窗(非博彩),data,data/knowledge_clubs_leagues.csv,50,50,done,P2,T209,,,3,50,,WC-CLUB-00551–00600
T212,9,俱乐部与联赛,13,联赛批次13:球迷常见问题,data,data/knowledge_clubs_leagues.csv,50,50,done,P2,T211,,,3,50,,WC-CLUB-00601–00650
T213,9,俱乐部与联赛,14,俱乐部与联赛质量抽检,review,data/knowledge_clubs_leagues.csv,650,50,done,P1,T212,,,5,650,,T213-clubs-leagues-review.md
T220,10,战术与位置,1,战术批次01:常见阵型,data,data/knowledge_tactics.csv,50,50,done,P1,T213,442/433/4231等,,4,50,,WC-TACT-00001–00050
T221,10,战术与位置,2,战术批次02:位置职责,data,data/knowledge_tactics.csv,50,50,done,P1,T220,,,4,50,,WC-TACT-00051–00100
T222,10,战术与位置,3,战术批次03:进攻套路,data,data/knowledge_tactics.csv,50,50,done,P2,T220,,,4,50,,WC-TACT-00101–00150
T223,10,战术与位置,4,战术批次04:防守体系,data,data/knowledge_tactics.csv,50,50,done,P2,T220,,,4,50,,WC-TACT-00151–00200
T224,10,战术与位置,5,战术批次05:经典战术流派,data,data/knowledge_tactics.csv,50,50,done,P1,T220,全攻全守/tiki-taka等,,4,50,,WC-TACT-00201–00250
T225,10,战术与位置,6,战术批次06:定位球战术,data,data/knowledge_tactics.csv,50,50,done,P2,T224,,,3,50,,WC-TACT-00251–00300
T226,10,战术与位置,7,战术批次07:世界杯经典战术局,data,data/knowledge_tactics.csv,50,50,done,P1,T224,,,4,50,,WC-TACT-00301–00350
T227,10,战术与位置,8,战术批次08:换人策略,data,data/knowledge_tactics.csv,50,50,done,P2,T226,,,3,50,,WC-TACT-00351–00400
T228,10,战术与位置,9,战术批次09:点球大战策略(非博彩),data,data/knowledge_tactics.csv,50,50,done,P2,T226,,,3,50,,WC-TACT-00401–00450
T229,10,战术与位置,10,战术批次10:青训位置培养,data,data/knowledge_tactics.csv,50,50,done,P2,T228,,,3,50,,WC-TACT-00451–00500
T230,10,战术与位置,11,战术批次11:数据与战术,data,data/knowledge_tactics.csv,50,50,done,P2,T229,xG等基础概念,,3,50,,WC-TACT-00501–00550
T232,10,战术与位置,12,战术批次12:补遗战术,data,data/knowledge_tactics.csv,50,50,done,P2,T230,,,3,50,,WC-TACT-00551–00600
T231,10,战术与位置,13,战术与位置质量抽检,review,data/knowledge_tactics.csv,600,50,done,P1,T232,,,5,50,,docs/reviews/T231-tactics-review.md
T240,11,纪录与统计,1,纪录批次01:总进球纪录,data,data/knowledge_records_stats.csv,50,50,done,P0,T231,,,4,50,,WC-RECD-00001–00050
T241,11,纪录与统计,2,纪录批次02:单届进球,data,data/knowledge_records_stats.csv,50,50,done,P0,T240,,,4,50,,WC-RECD-00051–00100
T242,11,纪录与统计,3,纪录批次03:出场与年龄,data,data/knowledge_records_stats.csv,50,50,done,P1,T240,,,4,50,,WC-RECD-00101–00150
T243,11,纪录与统计,4,纪录批次04:红黄牌纪律,data,data/knowledge_records_stats.csv,50,50,done,P1,T240,,,3,50,,WC-RECD-00151–00200
T244,11,纪录与统计,5,纪录批次05:点球纪录,data,data/knowledge_records_stats.csv,50,50,done,P1,T240,,,3,50,,WC-RECD-00201–00250
T245,11,纪录与统计,6,纪录批次06:门将纪录,data,data/knowledge_records_stats.csv,50,50,done,P2,T240,,,3,50,,WC-RECD-00251–00300
T246,11,纪录与统计,7,纪录批次07:球队纪录,data,data/knowledge_records_stats.csv,50,50,done,P1,T240,,,4,50,,WC-RECD-00301–00350
T247,11,纪录与统计,8,纪录批次08:连胜不败,data,data/knowledge_records_stats.csv,50,50,done,P2,T246,,,3,50,,WC-RECD-00351–00400
T248,11,纪录与统计,9,纪录批次09:最大比分,data,data/knowledge_records_stats.csv,50,50,done,P1,T246,,,3,50,,WC-RECD-00401–00450
T249,11,纪录与统计,10,纪录批次10:首个与唯一,data,data/knowledge_records_stats.csv,50,50,done,P1,T248,,,4,50,,WC-RECD-00451–00500
T250,11,纪录与统计,11,纪录批次11:国家对比统计,data,data/knowledge_records_stats.csv,50,50,done,P2,T249,,,4,50,,WC-RECD-00501–00550
T251,11,纪录与统计,12,纪录批次12:2022最新数据,data,data/knowledge_records_stats.csv,50,50,done,P1,T249,,,4,50,,WC-RECD-00551–00600
T252,11,纪录与统计,13,纪录批次13:女足纪录,data,data/knowledge_records_stats.csv,50,50,done,P2,T251,,,3,50,,WC-RECD-00601–00650
T253,11,纪录与统计,14,纪录批次14:趣味统计,data,data/knowledge_records_stats.csv,50,50,done,P2,T251,,,3,50,,WC-RECD-00651–00700
T254,11,纪录与统计,15,纪录批次15:数据FAQ,data,data/knowledge_records_stats.csv,50,50,done,P2,T253,,,3,50,,WC-RECD-00701–00750
T256,11,纪录与统计,16,纪录批次16:补遗统计,data,data/knowledge_records_stats.csv,50,50,done,P2,T254,,,3,50,,WC-RECD-00751–00800
T255,11,纪录与统计,17,纪录与统计质量抽检,review,data/knowledge_records_stats.csv,800,50,done,P0,T256,,,6,50,,docs/reviews/T255-records-stats-review.md
